timestamp,stage,model,prompt_tokens,completion_tokens,total_tokens
2025-08-10T13:15:53Z,final_summary_en,gpt-4.1-mini,1186,1090,2276
2025-08-10T13:16:23Z,final_summary_en,gpt-4.1-mini,2291,1252,3543
2025-08-10T13:16:48Z,final_summary_en,gpt-4.1-mini,1794,945,2739
2025-08-10T13:17:09Z,final_summary_en,gpt-4.1-mini,1577,1094,2671
2025-08-10T13:17:32Z,final_summary_en,gpt-4.1-mini,957,1003,1960
2025-08-10T13:18:03Z,final_summary_en,gpt-4.1-mini,1252,1435,2687
2025-08-10T13:18:32Z,final_summary_en,gpt-4.1-mini,1737,1151,2888
2025-08-10T13:18:53Z,final_summary_en,gpt-4.1-mini,1581,1104,2685
2025-08-10T13:19:09Z,final_summary_en,gpt-4.1-mini,1017,900,1917
2025-08-10T13:19:25Z,final_summary_en,gpt-4.1-mini,1571,1143,2714
2025-08-10T13:20:31Z,category_summary,gpt-4.1-mini,130,36,166
2025-08-10T13:20:33Z,category_summary,gpt-4.1-mini,135,33,168
2025-08-10T13:20:34Z,category_summary,gpt-4.1-mini,115,34,149
2025-08-10T13:20:37Z,category_summary,gpt-4.1-mini,134,38,172
2025-08-10T13:20:38Z,category_summary,gpt-4.1-mini,104,33,137
2025-08-10T13:20:40Z,category_summary,gpt-4.1-mini,104,28,132
2025-08-10T11:20:40Z,RUN_TOTAL,,99659,26697,126356
